date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:28:56	9653/9653	---M-Z	200	added ('OK')	text/html	date:Wed,%2013%20Nov%202024%2013:28:56%20GMT	https://massarservice.men.gov.ma/moutamadris/Account	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/Account.html	(from )
14:28:58	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2013:28:56%20GMT	https://massarservice.men.gov.ma/robots.txt		(from )
14:28:58	3697/3697	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-57x57.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-57x57.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:28:59	3988/3988	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-60x60.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-60x60.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:00	5047/5047	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-72x72.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-72x72.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:01	5433/5433	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-76x76.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-76x76.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:02	9383/9383	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-114x114.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-114x114.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:03	10206/10206	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-120x120.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-120x120.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:04	13438/13438	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-144x144.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-144x144.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:05	14860/14860	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-152x152.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-152x152.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:06	19476/19476	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-180x180.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/apple-icon-180x180.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:07	20348/20348	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/android-icon-192x192.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/android-icon-192x192.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:08	1904/1904	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-32x32.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-32x32.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:09	7449/7449	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-96x96.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-96x96.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:10	1132/1132	---M--	200	added ('OK')	image/png	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-16x16.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/favicon-16x16.png	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:11	760/760	---M--	200	added ('OK')	application/json	etag:%2207c9d82261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/manifest.json	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/img/favicon/manifest.json	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:12	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Nov%202024%2013:29:12%20GMT	https://massarservice.men.gov.ma/moutamadris/assets/img/favicon/ms-icon-144x144.png	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/assets/img/favicon/ms-icon-144x144.f.delayed	(from https://massarservice.men.gov.ma/moutamadris/Account)
14:29:13	37895/37895	---M-Z	200	added ('OK')	text/css	etag:%2204f6c81261adb1:0%22	https://massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/css/login.css	/home/ygm/Videos/massarservice.men.gov.ma/moutamadris/ScriptsIntegration/assets/css/login.css	(from https://massarservice.men.gov.ma/moutamadris/Account)
